titles,lastest_Chap,types,views,follows,condition,discription,teasers,links 
Một đêm không bóng,Chapter 21,"Thể loại:Cổ Đại, Manhwa, Ngôn Tình, Truyện Màu",Lượt xem:232K,Theo dõi:8.196,Tình trạng:Đang tiến hành,"[ Nếu bạn vào rừng sâu, những cái bóng sẽ ăn thịt bạn. Bóng rừng di chuyển khi không có ai nhìn thấy. Sâu trong rừng có những bóng người lầm lũi. Bóng rừng lên tiếng.] Roselia của đoàn kỵ sĩ đêm trắng đã bị kẻ thù tấn công và mất tích trong cuộc thi săn bắn. Cố gắng tìm ra cô gái bị thương nặng dưới vách đá và mất ý thức. Nhưng sau khi Rosalynn tỉnh dậy, vài ngày sau đó cô đã trong tình trạng bị mất trí nhớ nặng, thậm chí khó có thể nói được ngôn ngữ đơn giản. Cô mặc đồ ngủ và đi chân trần lang thang trong nhà, nói trống không khắp nơi. Thậm chí còn nhặt thức ăn rơi xuống đất lên ăn! Dù nhìn thế nào đi nữa thì cô gái này cũng thật kỳ lạ. Có thật là Rosalynn không đây?",//st.nettruyenup.com/data/comics/175/mot-dem-khong-bong.jpg,https://www.nettruyenup.com/truyen-tranh/mot-dem-khong-bong-67759
Hạnh Lâm Phương Hoa,Chapter 29,Tác giả:Hàm Lộ Thanh Thu,Lượt xem:158K,Theo dõi:1.721,Tình trạng:Đang tiến hành,"Cứu mạng! Không hiểu sao lại xuyên tới cổ đại, còn bị một nam thần y háo sắc cưỡng hôn! Quan trọng là, ta cũng là đàn ông a, mặc dù ngươi thích thân thể này nhưng cũng không nên hết việc là phi lễ ta chứ, ta mới là chủ nhân hiện tại của thân thể này!",//st.nettruyenup.com/data/comics/185/hanh-lam-phuong-hoa.jpg,https://www.nettruyenup.com/truyen-tranh/hanh-lam-phuong-hoa-173370
Võ Luyện Đỉnh Phong,Chapter 3070,Tình trạng:Đang tiến hành,Bình luận:314K,Ngày cập nhật:3 giờ trước,Lượt xem:793M,"Võ đạo đỉnh phong, là cô độc, là tịch mịch, là dài đằng đẵng cầu tác, là cao xử bất thắng hàn Phát triển trong nghịch cảnh, cầu sinh nơi tuyệt địa, bất khuất không buông tha, mới có thể có thể phá võ chi cực đạo. Lăng Tiêu các thí luyện đệ tử kiêm quét rác gã sai vặt Dương Khai ngẫu lấy được một bản vô tự hắc thư, từ nay về sau đạp vào dài đằng đẵng võ đạo.",//st.nettruyenup.com/data/comics/32/vo-luyen-dinh-phong.jpg,https://www.nettruyenup.com/truyen-tranh/vo-luyen-dinh-phong-176960
Ta Là Đại Thần Tiên,Chapter 574,Tình trạng:Đang tiến hành,Bình luận:16K,Ngày cập nhật:3 giờ trước,Lượt xem:69M,"Thần đồng tên giang mới có bảy tuổi sinh trưởng quá nhanh nên bị đoản mệnh, vì là khôi phục cuộc sống bình thường, mang theo ký ức trong cơ thể một vị đại thần tiên xông vào Tiên giới, từ đây đi tới trở thành bá chủ Tiên giới mở ra con đường truyền kỳ...",//st.nettruyenup.com/data/comics/133/ta-la-dai-than-tien.jpg,https://www.nettruyenup.com/truyen-tranh/ta-la-dai-than-tien-198450
Chàng Rể Mạnh Nhất Lịch Sử,Chapter 59,Tình trạng:Đang tiến hành,Bình luận:7.275,Ngày cập nhật:3 giờ trước,Lượt xem:9.738K,,//st.nettruyenup.com/data/comics/90/chang-re-manh-nhat-lich-su.jpg,https://www.nettruyenup.com/truyen-tranh/chang-re-manh-nhat-lich-su-72026
Hoàng Thúc Sủng Ta Đến Tận Xương,Chapter 10,Tình trạng:Đang tiến hành,Bình luận:73,Ngày cập nhật:2 giờ trước,Lượt xem:153K,"Kiếp trước nàng bị cặn bã nam cùng thân tỷ hại chết, sau khi sống lại chuẩn bị báo thù, nhưng Ngu Thanh Hoan cảm thấy vùi đầu làm việc vất vả không bằng ôm đùi người khác, lần đầu tiên nhìn thấy Trưởng Tôn Diễm, nàng liền lớn tiếng tuyên thệ, ""Ta muốn làm người trong lòng ngươi"". Hắn khinh thường nhìn lại"" muốn làm nữ nhân của bổn vương phải xứng với bổn vương mới được"". Kết quả, Ngu Thanh Hoan còn chưa ngoắc ngoắc đầu ngón út, người nào đó đã sủng nàng thành vương phi kiêu ngạo nhất kinh thành.",//st.nettruyenup.com/data/comics/227/hoang-thuc-sung-ta-den-tan-xuong.jpg,https://www.nettruyenup.com/truyen-tranh/hoang-thuc-sung-ta-den-tan-xuong-77539
Linh Khư,Chapter 11,Tình trạng:Đang tiến hành,Bình luận:265,Ngày cập nhật:3 giờ trước,Lượt xem:110K,,//st.nettruyenup.com/data/comics/37/linh-khu.jpg,https://www.nettruyenup.com/truyen-tranh/linh-khu-78885
Gậy Gỗ Cấp 99+,Chapter 53.6,Tình trạng:Đang tiến hành,Bình luận:28K,Ngày cập nhật:3 giờ trước,Lượt xem:10M,Đây là phiên bản gậy gỗ Saitama - Gõ phát chết luôn!!!!!!!!! Thanh niên main trong game thực tế ảo bị gái lừa giết chết rồi vô tình được cho 1 chiếc gậy gỗ tân thủ. Bug game khiến cho main cường hóa cây gậy này lên cấp 99+ tối đa. Đây là phiên bản gậy gỗ Saitama - Gõ phát chết luôn!!!!!!!!!,//st.nettruyenup.com/data/comics/171/gay-go-cap-99-5344.jpg,https://www.nettruyenup.com/truyen-tranh/gay-go-cap-99-600783
Vạn Tướng Chi Vương,Chapter 268,Tác giả:Thiên tằm thổ đậu,Lượt xem:20M,Theo dõi:89K,Tình trạng:Đang tiến hành,"Lý lạc, Đệ nhất tướng thuật ngộ tính của học phủ nam phong? Chèn ép đồng bối, nhưng cũng là không tướng trời sinh, dần dần bị các bạn học đá ra phía sau.  Phương pháp giải quyết vấn đề không tướng của ba mẹ của lý lạc để lại  , lại rơi vào nghịch cảnh 5 năm phong hầu , nếu không sẽ chết .  Trong thiên địa , có vạn tướng. Mà lý lạc ta, cuối cùng sẽ trở thành Vạn tướng chi vương .",//st.nettruyenup.com/data/comics/99/van-tuong-chi-vuong.jpg,https://www.nettruyenup.com/truyen-tranh/van-tuong-chi-vuong-438750
Đấu La Đại Lục 5,Chapter 78,"Thể loại:Chuyển Sinh, Manhua, Mystery, Truyện Màu, Xuyên Không",Lượt xem:3.317K,Theo dõi:38K,Tình trạng:Đang tiến hành,"Nhất đại Thần Vương trùng sinh tại đôi này nhân loại cũng không hữu hảo yêu tinh trong đại lục, có thể hay không một lần nữa truy hồi thê tử. Thiên hình vạn trạng Yêu Thần biến lại sẽ mang lại cho hắn như thế nào trùng sinh chi đường? Đều ở nhất đại Thần Vương hành trình tìm vợ, Đấu La Đại Lục Bộ 5:, trùng sinh Đường Tam!",//st.nettruyenup.com/data/comics/84/dau-la-dai-luc-5.jpg,https://www.nettruyenup.com/truyen-tranh/dau-la-dai-luc-5-579400
Nghịch Thiên Cải Mệnh,Chapter 41,Tình trạng:Đang tiến hành,Bình luận:4.251,Ngày cập nhật:3 giờ trước,Lượt xem:3.387K,,//st.nettruyenup.com/data/comics/155/nghich-thien-cai-menh.jpg,https://www.nettruyenup.com/truyen-tranh/nghich-thien-cai-menh-63387
Quỷ Troll Mạnh Nhất Thế Giới,Chapter 21,"Thể loại:Action, Adventure, Manhwa, Truyện Màu",Lượt xem:683K,Theo dõi:22K,Tình trạng:Đang tiến hành,Trò chơi xác suất nhất trên thế giới. Điện tử Ajin. Công nghiệp Silicorp. Tổng công ty Argos. Đây là trò chơi thực tế ảo đầu tiên do tập đoàn hàng đầu thế giới - Arcadia sản xuất. [Chào mừng bạn đến với thế giới kỳ ảo của Arcadia.] Những câu chuyện điên rồ của thế giới đó bây giờ sẽ mở ra!,//st.nettruyenup.com/data/comics/112/quy-troll-manh-nhat-the-gioi.jpg,https://www.nettruyenup.com/truyen-tranh/quy-troll-manh-nhat-the-gioi-72816
Tái Sinh Thành Công Chức Ở Một Thế Giới Xa Lạ,Chapter 46,"Thể loại:Action, Chuyển Sinh, Manhwa, Truyện Màu, Xuyên Không",Lượt xem:3.403K,Theo dõi:53K,Tình trạng:Đang tiến hành,"Tên khác: Tái Sinh Thành Công Chức Bình Thường ở Một Thế Giới Xa Lạ; Trọng Sinh Tại Dị Giới Để Tìm Cách Sống Như Người Thường Cậu ấy đang trên đường đi mua bia để ăn mừng vì đậu công chức nhưng đột nhiên bị một chiếc xe tải đâm trúng và sau đó tỉnh dậy ở một thế giới khác. Tái sinh trở thành Denburg Blade, con trai của trưởng tộc chiến binh huyền thoại, cậu ấy đã tiêu diệt các con quỷ vào năm lên 8 và một con rồng khi bước sang tuổi 12. Dưới sự huấn luyện theo phong cách Spartan của người cha dũng mãnh, cậu ấy đã sống một cuộc sống không hề bình thường. 'Mình phải rời khỏi nơi này để tìm kiếm sự yên bình!' An toàn là trên hết! Vậy nên cậu ấy đã quyết định trở thành một công chức bình thường ở đế quốc! Denburg thật sự có thể trở thành công chức và sống bình yên, ổn định như mong ước không?",//st.nettruyenup.com/data/comics/101/tai-sinh-thanh-cong-chuc-o-mot-the-gioi-1443.jpg,https://www.nettruyenup.com/truyen-tranh/tai-sinh-thanh-cong-chuc-o-mot-the-gioi-xa-la-589814
Himegoto - Juukyuusai no Seifuku,Chapter 19,Tác giả:Minenami Ryo,Lượt xem:884K,Theo dõi:5.028,Tình trạng:Đang tiến hành,"Một cô nàng tomboy khao khát được trở nên nữ tính, bí mật mặc chiếc váy đồng phục cũ và tưởng tượng có người đàn ông hành hạ mình để th* d*m.Một cô gái đáng yêu và ngây thơ có vẻ ngoài trẻ hơn tuổi, sử dụng vẻ ngoài đó để kiếm tiền từ việc ""đón khách"" từ năm 15.Một chàng trai nổi tiếng và được yêu mến, sử dụng tiền của bạn gái để mua trang phục nữ và khao khát được chấp nhận xxx khi ""là một cô gái"".Một mối tình tay ba vô cùng kì lạ....",//st.nettruyenup.com/data/comics/129/himegoto-juukyuusai-no-seifuku.jpg,https://www.nettruyenup.com/truyen-tranh/himegoto-juukyuusai-no-seifuku-101130
Người Mới Này Quá Mạnh,Chapter 45,"Thể loại:Action, Adventure, Manhwa, Slice of Life, Truyện Màu",Lượt xem:3.483K,Theo dõi:57K,Tình trạng:Đang tiến hành,"JaeJu lớn lên một cách khéo léo mà không có cha mẹ trong trại trẻ mồ côi, như tên của anh vậy. Một ngày nọ, anh nghe tin cô nhi viện đang gặp khó khăn và sẽ phải đóng cửa trong 3 năm. Trong khi cố gắng góp tiền cho trại trẻ mồ côi, JaeJu nhận được một cảnh báo trên điện thoại của anh. Trên đó, anh ấy đã thấy một video quay cảnh mình leo tháp với tư cách là một BJ (người phát sóng trực tiếp hay còn gọi là streamer). Bảy năm trước, một tòa tháp đột nhiên xuất hiện và đưa mọi người vào đó một cách ngẫu nhiên. Nếu bạn thành công tại tháp và trở thành một “ Kẻ thức tỉnh”, thì việc bạn trở nên giàu có chỉ còn là vấn đề thời gian!",//st.nettruyenup.com/data/comics/143/nguoi-moi-nay-qua-manh.jpg,https://www.nettruyenup.com/truyen-tranh/nguoi-moi-nay-qua-manh-63631
Cung Quỷ Kiếm Thần,Chapter 164,Tình trạng:Đang tiến hành,Bình luận:5.536,Ngày cập nhật:1 ngày trước,Lượt xem:11M,"Cung là thứ binh khí vượt qua khoảng cách mà mắt thường nhìn được, thống trị cả những sinh mạng đang ẩn mình. Nếu thứ vũ khí vô hình này khát khao tìm kiếm sinh mạng nào đó, liệu còn thứ nào đáng sợ hơn nó hay không?",//st.nettruyenup.com/data/comics/229/cung-quy-kiem-than.jpg,https://www.nettruyenup.com/truyen-tranh/cung-quy-kiem-than-360691
"Thiên Phú Của Ngươi, Giờ Là Của Ta",Chapter 48,"Thể loại:Action, Adventure, Chuyển Sinh, Manhua, Supernatural, Truyện Màu, Webtoon",Lượt xem:6.489K,Theo dõi:107K,Tình trạng:Đang tiến hành,"100 năm trước, thế giới bỗng dưng xuất hiện các vết nứt không gian, hung thú thứ nguyên thừa cơ hội đó đã xâm nhập và đe dọa tới an nguy của nhân loại. Diệp Thiên, một thanh niên bất tài mồ côi cha mẹ cùng em gái đùm bọc nhau sống qua ngày. Một ngày nọ Diệp Thiên thức tỉnh năng lực phục chế ""thiên phú"" của người khác. Để bảo vệ em gái, sinh tồn trong thế giới bị dị thú xâm chiếm và cũng để trở nên mạnh mẽ hơn, cậu bắt đầu khám phá thế giới mà mình chưa biết. Dần dần bức màn bí mật về quái thú thứ nguyên cũng bắt đầu hé lộ...",//st.nettruyenup.com/data/comics/51/thien-phu-cua-nguoi-gio-la-cua-ta.jpg,https://www.nettruyenup.com/truyen-tranh/thien-phu-cua-nguoi-gio-la-cua-ta-433150
Tôi Vô Tình Cứu Được Em Trai Nam Chính,Chapter 29,Tình trạng:Đang tiến hành,Bình luận:270,Ngày cập nhật:4 giờ trước,Lượt xem:565K,"Tôi đã sở hữu cơ thể của Charlotte Rania, một nhân vật phụ không hề được nhắc đến dù chỉ một chi tiết trong nguyên tác. Tôi đã từng nghĩ mình sẽ không bao giờ chứng kiến cái cảnh cuộc chiến giữa giới xã hội và chính trị đẫm máu. Cho đến khi tôi gặp được em trai nam chính và cứu em ấy. Theodor Heinst, người em trai của nam chính sẽ chết năm 3 tuổi?! Nếu tôi không cứu em ấy, tôi có thể sẽ bị buộc tội ám sát hoặc đồng phạm với kẻ ác. Nhưng… “Theodor muốn sống với chị gái xinh đẹp” Cậu bé nhỏ này bắt đầu cố gắng để không quay về nhà. “Cô có thể trở thành phu nhân của gia tộc Heinst không?” Carlyle Heinst, người sẽ kết hôn với nữ chính giờ đây lại cầu hôn Charlotte… Cuộc đời bình yên của nhân vật phụ, xin tạm biệt!",//st.nettruyenup.com/data/comics/245/toi-vo-tinh-cuu-duoc-em-trai-nam-chinh.jpg,https://www.nettruyenup.com/truyen-tranh/toi-vo-tinh-cuu-duoc-em-trai-nam-chinh-76277
Sống Như Một Diễn Viên,Chapter 11,Tình trạng:Đang tiến hành,Bình luận:238,Ngày cập nhật:5 giờ trước,Lượt xem:104K,"Nam diễn viên 'Jang Young-guk', người đã đạt được thành công lớn với vai trò diễn viên phụ. Nhận giải Nam diễn viên phụ xuất sắc nhất đầu tiên và danh giá tại Giải thưởng Diễn xuất. Tuy nhiên, vào ngày đó, mẹ anh đã qua đời… Kinh hoàng trước cái chết của mẹ mình, người mà anh đã bỏ rơi trong nhiều năm, Young-guk quyết định kết liễu cuộc đời mình… Trước khi chết, anh nhớ lại hơi ấm của mẹ và những kỷ niệm êm đềm ngày xưa. Anh hối hận khi quay lưng lại với những ký ức đó… Và đột nhiên quay trở lại thời thơ ấu của mình… ""Tôi đã trở lại, về quá khứ mà tôi đã bỏ lỡ"" “Như một sự thật không thể tránh khỏi, cuộc sống này là…” Một lần nữa, câu chuyện của một người muốn sống như một diễn viên bắt đầu. Liệu anh có thể sống một cuộc sống hạnh phúc không giống như kiếp trước?",//st.nettruyenup.com/data/comics/132/song-nhu-mot-dien-vien.jpg,https://www.nettruyenup.com/truyen-tranh/song-nhu-mot-dien-vien-72324
Mạnh Lên Từ Cõi Chết,Chapter 37,Tình trạng:Đang tiến hành,Bình luận:1.673,Ngày cập nhật:5 giờ trước,Lượt xem:1.116K,,//st.nettruyenup.com/data/comics/48/manh-len-tu-coi-chet.jpg,https://www.nettruyenup.com/truyen-tranh/manh-len-tu-coi-chet-62512
Chemy,Chapter 32,Tình trạng:Đang tiến hành,Bình luận:566,Ngày cập nhật:5 giờ trước,Lượt xem:347K,"Cuộc sống của tôi quá tồi tàn cho đến khi tôi tham gia vào một thử nghiệm lâm sàng đáng ngờ cho một loại thuốc mới. ""Loại thuốc này có thể chứa tất cả kiến thức có thể được tạo ra bởi sinh học phân tử."" Han Jungwoo đã có thể vượt qua 1 trong số 10.000 tỷ lệ cược và thuốc đã có hiệu lực. ""Hãy tham gia cùng chúng tôi trong KG Chemical, ông Han Jungwoo."" Tôi không biết rằng dùng một loại thuốc có thể xoay chuyển cả cuộc đời tôi.",//st.nettruyenup.com/data/comics/145/chemy.jpg,https://www.nettruyenup.com/truyen-tranh/chemy-67217
